Day,5FU_Dose_mg,Oxaliplatin_Dose_mg,ANC_10^9_L,Acute_Neuropathy(0/1),Chronic_Neuropathy(0/1),Cumulative_Oxaliplatin_mg,Utility,Daily_Cost,Total_Cost
56,4489.98886412873,159.0204389378925,3.4520929271596583,0,0,636.08175575157,0.6265014811161924,297.7477946732382,2318.3741818107483
57,4489.98886412873,0.0,3.2768327334502994,1,0,795.1021946894625,0.0920054797274551,281.84575077944896,2616.1219764839866
58,0.0,0.0,3.163178398604711,0,0,795.1021946894625,0.3508071450077076,0.0,2897.9677272634353
59,0.0,0.0,3.2137016388140043,0,0,795.1021946894625,0.6313794247450281,0.0,2897.9677272634353
60,0.0,0.0,3.256646392991904,0,0,795.1021946894625,0.6300932189924784,0.0,2897.9677272634353
61,0.0,0.0,3.2931494340431184,0,0,795.1021946894625,0.6287941511824031,0.0,2897.9677272634353
62,0.0,0.0,3.3241770189366506,0,0,795.1021946894625,0.6274820926942272,0.0,2897.9677272634353
63,0.0,0.0,3.350550466096153,0,0,795.1021946894625,0.6261569136211694,0.0,2897.9677272634353
64,0.0,0.0,3.3729678961817298,0,0,795.1021946894625,0.6248184827573812,0.0,2897.9677272634353
65,0.0,0.0,3.3920227117544703,0,0,795.1021946894625,0.623466667584955,0.0,2897.9677272634353
66,0.0,0.0,3.4082193049912997,0,0,795.1021946894625,0.6221013342608045,0.0,2897.9677272634353
67,0.0,0.0,3.4219864092426047,0,0,795.1021946894625,0.6207223476034125,0.0,2897.9677272634353
68,0.0,0.0,3.433688447856214,0,0,795.1021946894625,0.6193295710794466,0.0,2897.9677272634353
69,0.0,0.0,3.443635180677782,0,0,795.1021946894625,0.6179228667902411,0.0,2897.9677272634353
70,4489.98886412873,159.0204389378925,3.452089903576115,0,0,795.1021946894625,0.6165020954581435,297.7477946732382,2897.9677272634353
71,4489.98886412873,0.0,3.276830323203431,1,0,954.1226336273551,0.08224966182883789,281.84575077944896,3195.7155219366737
72,0.0,0.0,3.163176458114689,0,0,954.1226336273551,0.3412685162790377,0.0,3477.5612727161224
73,0.0,0.0,3.213699989397486,0,0,954.1226336273551,0.6217454097290716,0.0,3477.5612727161224
74,0.0,0.0,3.256644990987863,0,0,954.1226336273551,0.6203628638263622,0.0,3477.5612727161224
75,0.0,0.0,3.2931482423396834,0,0,954.1226336273551,0.6189664924646259,0.0,3477.5612727161224
76,0.0,0.0,3.324176005988731,0,0,954.1226336273551,0.617556157389272,0.0,3477.5612727161224
77,0.0,0.0,3.3505496050904213,0,0,954.1226336273551,0.6161317189631648,0.0,3477.5612727161224
78,0.0,0.0,3.372967164326858,0,0,954.1226336273551,0.6146930361527965,0.0,3477.5612727161224
79,0.0,0.0,3.3920220896778295,0,0,954.1226336273551,0.6132399665143244,0.0,3477.5612727161224
80,0.0,0.0,3.408218776226155,0,0,954.1226336273551,0.6117723661794676,0.0,3477.5612727161224
81,0.0,0.0,3.4219859597922317,0,0,954.1226336273551,0.6102900898412623,0.0,3477.5612727161224
82,0.0,0.0,3.433688065823397,0,0,954.1226336273551,0.608792990739675,0.0,3477.5612727161224
83,0.0,0.0,3.4436348559498873,0,0,954.1226336273551,0.6072809206470717,0.0,3477.5612727161224
84,4489.98886412873,159.0204389378925,3.4520896275574042,0,0,954.1226336273551,0.6057537298535425,297.7477946732382,3477.5612727161224
85,4489.98886412873,0.0,3.276830103175367,1,0,1113.1430725652476,0.07176310784120923,281.84575077944896,3775.3090673893607
86,0.0,0.0,3.16317628097007,0,0,1113.1430725652476,0.33101541949405977,0.0,4057.1548181688095
87,0.0,0.0,3.2136998388245592,0,0,1113.1430725652476,0.6113897819762438,0.0,4057.1548181688095
88,0.0,0.0,3.2566448630008753,0,0,1113.1430725652476,0.6099036797960062,0.0,4057.1548181688095
89,0.0,0.0,3.293148133550744,0,0,1113.1430725652476,0.6084027165939663,0.0,4057.1548181688095
90,0.0,0.0,3.3241759135181326,0,0,1113.1430725652476,0.606886743759906,0.0,4057.1548181688095
91,0.0,0.0,3.3505495264904126,0,0,1113.1430725652476,0.605355611197505,0.0,4057.1548181688095
92,0.0,0.0,3.3729670975168506,0,0,1113.1430725652476,0.6038091673094801,0.0,4057.1548181688095
93,0.0,0.0,3.392022032889323,0,0,1113.1430725652476,0.6022472589825749,0.0,4057.1548181688095
94,0.0,0.0,3.4082187279559246,0,0,1113.1430725652476,0.6006697315724007,0.0,4057.1548181688095
95,0.0,0.0,3.421985918762536,0,0,1113.1430725652476,0.5990764288881247,0.0,4057.1548181688095
96,0.0,0.0,3.4336880309481557,0,0,1113.1430725652476,0.5974671931770059,0.0,4057.1548181688095
97,0.0,0.0,3.4436348263059324,0,0,1113.1430725652476,0.595841865108776,0.0,4057.1548181688095
98,4489.98886412873,159.0204389378925,3.4520896023600427,0,0,1113.1430725652476,0.5942002837598637,297.7477946732382,4057.1548181688095
99,4489.98886412873,0.0,3.276830083089313,1,0,1272.1635115031402,0.06049108373433898,281.84575077944896,4354.902612842047
100,0.0,0.0,3.163176264798786,0,0,1272.1635115031402,0.31999433914042874,0.0,4636.7483636214965
101,0.0,0.0,3.213699825078968,0,0,1272.1635115031402,0.6002584908190765,0.0,4636.7483636214965
102,0.0,0.0,3.2566448513171227,0,0,1272.1635115031402,0.5986610757272672,0.0,4636.7483636214965
103,0.0,0.0,3.293148123619554,0,0,1272.1635115031402,0.59704768648454,0.0,4636.7483636214965
104,0.0,0.0,3.324175905076621,0,0,1272.1635115031402,0.5954181633493854,0.0,4636.7483636214965
105,0.0,0.0,3.350549519315128,0,0,1272.1635115031402,0.5937723449828792,0.0,4636.7483636214965
106,0.0,0.0,3.3729670914178587,0,0,1272.1635115031402,0.592110068432708,0.0,4636.7483636214965
107,0.0,0.0,3.39202202770518,0,0,1272.1635115031402,0.5904311691170351,0.0,4636.7483636214965
108,0.0,0.0,3.408218723549403,0,0,1272.1635115031402,0.5887354808082054,0.0,4636.7483636214965
109,0.0,0.0,3.4219859150169922,0,0,1272.1635115031402,0.5870228356162874,0.0,4636.7483636214965
110,0.0,0.0,3.4336880277644433,0,0,1272.1635115031402,0.5852930639724503,0.0,4636.7483636214965
111,0.0,0.0,3.4436348235997767,0,0,1272.1635115031402,0.5835459946121748,0.0,4636.7483636214965
